기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201909,경상남도,전체방문자(a+b+c),5.6323437E7,5.7337098E7,-1.8
201909,제주특별자치도,현지인방문자(a),1.3118066E7,1.3770424E7,-4.7
201909,제주특별자치도,외지인방문자(b),4199822.0,4249438.0,-1.2
201909,제주특별자치도,외국인방문자(c),531940.0,460155.0,15.6
201909,제주특별자치도,외부방문자(b+c),4731762.0,4709593.0,0.5
201909,제주특별자치도,전체방문자(a+b+c),1.7849828E7,1.8480017E7,-3.4
201910,서울특별시,현지인방문자(a),1.2311783E8,1.37394957E8,-10.4
201910,서울특별시,외지인방문자(b),5.6278649E7,5.1361583E7,9.6
201910,서울특별시,외국인방문자(c),2906496.0,2572219.0,13.0
201910,서울특별시,외부방문자(b+c),5.9185145E7,5.3933802E7,9.7
201910,서울특별시,전체방문자(a+b+c),1.82302975E8,1.91328759E8,-4.7
201910,부산광역시,현지인방문자(a),4.1201734E7,4.007319E7,2.8
201910,부산광역시,외지인방문자(b),1.1671233E7,1.1554078E7,1.0
201910,부산광역시,외국인방문자(c),547140.0,502394.0,8.9
201910,부산광역시,외부방문자(b+c),1.2218373E7,1.2056471E7,1.3
201910,부산광역시,전체방문자(a+b+c),5.3420107E7,5.2129662E7,2.5
201910,대구광역시,현지인방문자(a),3.5835412E7,3.5234437E7,1.7
201910,대구광역시,외지인방문자(b),8458058.0,8318317.0,1.7
201910,대구광역시,외국인방문자(c),96805.0,68249.0,41.8
201910,대구광역시,외부방문자(b+c),8554863.0,8386566.0,2.0
201910,대구광역시,전체방문자(a+b+c),4.4390274E7,4.3621003E7,1.8
201910,인천광역시,현지인방문자(a),3.1413536E7,3.4422318E7,-8.7
201910,인천광역시,외지인방문자(b),1.5390025E7,1.4029834E7,9.7
201910,인천광역시,외국인방문자(c),881876.0,781217.0,12.9
201910,인천광역시,외부방문자(b+c),1.6271901E7,1.4811051E7,9.9
201910,인천광역시,전체방문자(a+b+c),4.7685437E7,4.9233369E7,-3.1
201910,광주광역시,현지인방문자(a),2.1558082E7,2.244668E7,-4.0
201910,광주광역시,외지인방문자(b),5385471.0,5094936.0,5.7
201910,광주광역시,외국인방문자(c),39411.0,37544.0,5.0
201910,광주광역시,외부방문자(b+c),5424882.0,5132480.0,5.7
201910,광주광역시,전체방문자(a+b+c),2.6982964E7,2.757916E7,-2.2
201910,대전광역시,현지인방문자(a),2.1696896E7,2.1827218E7,-0.6
201910,대전광역시,외지인방문자(b),6835227.0,6736376.0,1.5
201910,대전광역시,외국인방문자(c),48352.0,46411.0,4.2
201910,대전광역시,외부방문자(b+c),6883579.0,6782788.0,1.5
201910,대전광역시,전체방문자(a+b+c),2.8580474E7,2.8610006E7,-0.1
201910,울산광역시,현지인방문자(a),1.498237E7,1.4964859E7,0.1
201910,울산광역시,외지인방문자(b),3979728.0,3807762.0,4.5
201910,울산광역시,외국인방문자(c),102866.0,78253.0,31.5
201910,울산광역시,외부방문자(b+c),4082594.0,3886015.0,5.1
