,기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
57,202012,부산광역시,외국인방문자(c),45131.0,482928.0
58,202012,부산광역시,외부방문자(b+c),9025571.0,13677238.0
59,202012,부산광역시,전체방문자(a+b+c),48023978.0,56433375.0
0,201901,부산광역시,현지인방문자(a),38855148.0,37569497.0
1,201901,부산광역시,외지인방문자(b),11674128.0,11834204.0
2,201901,부산광역시,외국인방문자(c),294616.0,174910.0
3,201901,부산광역시,외부방문자(b+c),11968743.0,12009113.0
4,201901,부산광역시,전체방문자(a+b+c),50823892.0,49578610.0
5,201902,부산광역시,현지인방문자(a),34681612.0,34097878.0
6,201902,부산광역시,외지인방문자(b),12876465.0,12335218.0
7,201902,부산광역시,외국인방문자(c),312050.0,205153.0
8,201902,부산광역시,외부방문자(b+c),13188515.0,12540371.0
9,201902,부산광역시,전체방문자(a+b+c),47870127.0,46638249.0
10,201903,부산광역시,현지인방문자(a),39710478.0,39155039.0
11,201903,부산광역시,외지인방문자(b),14100188.0,13231071.0
12,201903,부산광역시,외국인방문자(c),400192.0,269389.0
13,201903,부산광역시,외부방문자(b+c),14500379.0,13500460.0
14,201903,부산광역시,전체방문자(a+b+c),54210858.0,52655499.0
15,201904,부산광역시,현지인방문자(a),36381838.0,36523760.0
16,201904,부산광역시,외지인방문자(b),10284054.0,10565821.0
17,201904,부산광역시,외국인방문자(c),504583.0,318152.0
18,201904,부산광역시,외부방문자(b+c),10788637.0,10883973.0
19,201904,부산광역시,전체방문자(a+b+c),47170475.0,47407733.0
20,201905,부산광역시,현지인방문자(a),39926246.0,40974566.0
21,201905,부산광역시,외지인방문자(b),12990982.0,12189331.0
22,201905,부산광역시,외국인방문자(c),467262.0,317102.0
23,201905,부산광역시,외부방문자(b+c),13458243.0,12506433.0
24,201905,부산광역시,전체방문자(a+b+c),53384490.0,53480999.0
25,201906,부산광역시,현지인방문자(a),38926016.0,39517090.0
26,201906,부산광역시,외지인방문자(b),11056896.0,11135456.0
27,201906,부산광역시,외국인방문자(c),439977.0,307320.0
28,201906,부산광역시,외부방문자(b+c),11496873.0,11442776.0
29,201906,부산광역시,전체방문자(a+b+c),50422889.0,50959866.0
30,201907,부산광역시,현지인방문자(a),40926890.0,40252884.0
31,201907,부산광역시,외지인방문자(b),13210617.0,12254676.0
32,201907,부산광역시,외국인방문자(c),436473.0,346683.0
33,201907,부산광역시,외부방문자(b+c),13647090.0,12601359.0
34,201907,부산광역시,전체방문자(a+b+c),54573979.0,52854243.0
35,201908,부산광역시,현지인방문자(a),38924067.0,40615936.0
36,201908,부산광역시,외지인방문자(b),13473968.0,13347096.0
37,201908,부산광역시,외국인방문자(c),470346.0,383917.0
38,201908,부산광역시,외부방문자(b+c),13944314.0,13731013.0
39,201908,부산광역시,전체방문자(a+b+c),52868381.0,54346948.0
40,201909,부산광역시,현지인방문자(a),39343630.0,39304720.0
41,201909,부산광역시,외지인방문자(b),13364900.0,13931208.0
42,201909,부산광역시,외국인방문자(c),468581.0,383191.0
43,201909,부산광역시,외부방문자(b+c),13833482.0,14314398.0
44,201909,부산광역시,전체방문자(a+b+c),53177111.0,53619118.0
45,201910,부산광역시,현지인방문자(a),41201734.0,40073190.0
46,201910,부산광역시,외지인방문자(b),11671233.0,11554078.0
47,201910,부산광역시,외국인방문자(c),547140.0,502394.0
48,201910,부산광역시,외부방문자(b+c),12218373.0,12056471.0
49,201910,부산광역시,전체방문자(a+b+c),53420107.0,52129662.0
50,201911,부산광역시,현지인방문자(a),40658916.0,37486246.0
51,201911,부산광역시,외지인방문자(b),11774396.0,11011714.0
52,201911,부산광역시,외국인방문자(c),460266.0,379224.0
53,201911,부산광역시,외부방문자(b+c),12234661.0,11390938.0
54,201911,부산광역시,전체방문자(a+b+c),52893577.0,48877184.0
55,201912,부산광역시,현지인방문자(a),42756136.0,39516754.0
56,201912,부산광역시,외지인방문자(b),13194310.0,12327728.0
57,201912,부산광역시,외국인방문자(c),482928.0,323465.0
58,201912,부산광역시,외부방문자(b+c),13677238.0,12651193.0
59,201912,부산광역시,전체방문자(a+b+c),56433375.0,52167947.0
